user_id,session_id,event_index,previous,current,delta,type
"$W=hWtefA]NdHR2>`btZS!""mG+UD02#ZB@iwXQ","%u:>b@EL^,`}o.T2v|[W*'a:<w^=4}/oXe@y!WgX}D",3,3,5,2,skip
"$W=hWtefA]NdHR2>`btZS!""mG+UD02#ZB@iwXQ","%u:>b@EL^,`}o.T2v|[W*'a:<w^=4}/oXe@y!WgX}D",4,5,4,-1,reset
$a4b'_{ZcA?TNt7`=5F+>j1F5Rq=\1C>v)FKa0,Rl06=h['$?Jr~;gCjY'qR92 &:[]%wl) hm_J;E*+A,1,7,9,2,skip
$vTIBIJJdC[1<q-?-`Irr( d.B/r0=<wO)Pi6j,"(R[>h&VQ4&wkrLSBo)1{Uj!n7`|@`X:1+G>D""Qy[z2",1,1,11,10,skip
"$yu;U}Y/mnuOA-yAmoADY.v(\!l*a^<w`e*,h}","WrkF9),$FMmR KG,/*KIDujGZT~tjwCAjX>~^fxVcS",9,4,6,2,skip
"$z_JMTt8ovTj""F$GwR`ub<^vL'`t}lZ,v\bASR",eZVG*M[}Q<n2 ^(3&Mh\*n-(+{i%;%~%ilN^40Ne4J,3,2,4,2,skip
"$z_JMTt8ovTj""F$GwR`ub<^vL'`t}lZ,v\bASR",eZVG*M[}Q<n2 ^(3&Mh\*n-(+{i%;%~%ilN^40Ne4J,5,5,7,2,skip
"%#`s_5GdouqX!R8FkFDX$a,n#A;<Wy ""'RkBai","}jL:,h5Vy""EYE*qulBov!#WR9&n67fm61lgCRLt7P1",3,3,5,2,skip
%CjW-^n*hoN-Lg~&b!}X')_Q<_1^5t@<U}%Oyf,-?pd6b-a;4mQ:Agz5dDU00B{0;V?GGH&RQxiY:yF!C,8,8,10,2,skip
%CjW-^n*hoN-Lg~&b!}X')_Q<_1^5t@<U}%Oyf,-?pd6b-a;4mQ:Agz5dDU00B{0;V?GGH&RQxiY:yF!C,9,10,12,2,skip
%LNL@SvEDbm|Pbfm#SR^cSj.V-t/q%^eYpv[Ty,"#ZuK >UV#/v$OM'Cr,_al1qL(Fl`XjA<:1ajUM]p>\",7,7,9,2,skip
%QuOOF&9_a1-h/?6pQ\xt@LlkZw^h[UVW0pVks,.^KK}CJE8A00u5<5nD/V(/WV*n-8Lggu!}lq![4EYq,1,3,8,5,skip
"%RE_x*RPr;<[%v>>M7""(W*YYHm[Y!5kI$9U7Qk",c!ophax^g+fSf\eo<?QK''r][I*rl_E*7?P2X;K?@[,2,2,4,2,skip
%Rcxg&4gTA2BdBw>a]avi@-aM}pfU<*X_xh)V.,"6fGm7l6q44h8/~viWog@wYn\U8`(I]3\""|""9U?LmTK",5,5,8,3,skip
%Rcxg&4gTA2BdBw>a]avi@-aM}pfU<*X_xh)V.,"6fGm7l6q44h8/~viWog@wYn\U8`(I]3\""|""9U?LmTK",6,8,10,2,skip
%SD@7T>t1VRCfyCCV!O5|PM)2q[*a+=s2tlzs!,W;xCeKU};e5@d+LE}3ac:v!T&=G.'P+nPc\h#D*1$r,2,2,4,2,skip
